image_id,class,score,xmin,ymin,xmax,ymax,width,height
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.91,949,414,1024,567,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.90,426,436,464,538,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.89,469,445,509,545,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,three wheelers (CNG),0.88,518,426,611,633,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.78,648,425,695,566,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.76,576,415,790,673,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.66,384,449,408,509,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,bus,0.59,56,294,378,501,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,bus,0.52,705,410,741,489,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,minivan,0.47,48,404,377,670,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,bicycle,0.43,0,483,20,603,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.42,455,443,475,520,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.38,613,412,741,633,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.35,513,450,525,491,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.33,427,443,509,541,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.30,374,449,397,512,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.30,409,447,429,510,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,van,0.27,47,406,380,670,1024,1024
Asraf_100_jpg.rf.472d5bd950587612520051eebd827328.jpg,rickshaw,0.26,0,476,20,602,1024,1024
Asraf_101_jpg.rf.58690ebe018b849e3d3f6ef8785ca148.jpg,bus,0.93,246,330,589,644,1024,1024
Asraf_101_jpg.rf.58690ebe018b849e3d3f6ef8785ca148.jpg,car,0.91,644,492,717,589,1024,1024
